あたご・菅沢集会所,ｱﾀｺﾞｽｶﾞｻﾜｼｭｳｶｲｼﾞｮ,埼玉県新座市あたご3丁目13-6
中央公民館,ﾁｭｳｵｳｺｳﾐﾝｶﾝ,埼玉県新座市道場2丁目14-12
保健センター,ﾎｹﾝｾﾝﾀｰ,埼玉県新座市道場2丁目14-4
第四小学校,ﾀﾞｲﾖﾝｼｮｳｶﾞｯｺｳ,埼玉県新座市馬場3丁目6-1
馬場集会所,ﾊﾞﾊﾞｼｭｳｶｲｼﾞｮ,埼玉県新座市馬場4丁目3-36
馬場運動場,ﾊﾞﾊﾞｳﾝﾄﾞｳｼﾞｮｳ,埼玉県新座市馬場4丁目8-56
畑中公民館,ﾊﾀﾅｶｺｳﾐﾝｶﾝ,埼玉県新座市畑中1丁目15-58
片山小学校,ｶﾀﾔﾏｼｮｳｶﾞｯｺｳ,埼玉県新座市片山1丁目8-31
片山集会所,ｶﾀﾔﾏｼｭｳｶｲｼﾞｮ,埼玉県新座市片山2丁目12-7
北野ふれあいの家,ｷﾀﾉﾌﾚｱｲﾉｲｴ,埼玉県新座市北野2丁目15-32
北野保育園,ｷﾀﾉﾎｲｸｴﾝ,埼玉県新座市北野2丁目9-15
東北小学校,ﾄｳﾎｸｼｮｳｶﾞｯｺｳ,埼玉県新座市北野3丁目1-1
北野・東北集会所,ｷﾀﾉﾄｳﾎｸｼｭｳｶｲｼﾞｮ,埼玉県新座市北野3丁目8-26
老人福祉センター,ｺｳｼﾞﾝﾌｸｼｾﾝﾀｰ,埼玉県新座市堀ノ内2丁目3-45
みどり学園,ﾐﾄﾞﾘｶﾞｸｴﾝ,埼玉県新座市堀ノ内2-3-45
堀ノ内集会所,ﾎﾘﾉｳﾁｼｭｳｶｲｼﾞｮ,埼玉県新座市堀ノ内2丁目3-48
第六中学校,ﾀﾞｲﾛｸﾁｭｳｶﾞｯｺｳ,埼玉県新座市堀ノ内3丁目11-1
わかば学園,ﾜｶﾊﾞｶﾞｸｴﾝ,埼玉県新座市堀ノ内3丁目4-11
児童センター,ｼﾞﾄﾞｳｾﾝﾀｰ,埼玉県新座市本多1丁目3-10
市民総合体育館,ｼﾐﾝｿｳｺﾞｳﾀｲｲｸｶﾝ,埼玉県新座市本多2丁目1-20
西堀庭球場,ﾆｼﾎﾞﾘﾃｲｷｭｳｼﾞｮｳ,埼玉県新座市本多2丁目5-15
本多庭球場,ﾎﾝﾀﾞﾃｲｷｭｳｼﾞｮｳ,埼玉県新座市本多2丁目7-87
総合運動公園（管理事務所内）,ｿｳｺﾞｳｳﾝﾄﾞｳｺｳｴﾝｼﾞﾑｼｮ,埼玉県新座市本多2丁目8-16
総合運動公園（野球場）,ｿｳｺﾞｳｳﾝﾄﾞｳｺｳｴﾝﾔｷｭｳｼﾞｮｳ,埼玉県新座市本多2丁目8-16
新座市役所本庁舎,ﾆｲｻﾞｼﾔｸｼｮﾎﾝﾁｮｳｼｬ,埼玉県新座市野火止1丁目1-1
新座市役所第二庁舎,ﾆｲｻﾞｼﾔｸｼｮﾀﾞｲﾆﾁｮｳｼｬ,埼玉県新座市野火止1丁目1-1
市民会館,ｼﾐﾝｶｲｶﾝ,埼玉県新座市野火止1丁目1-2
中央図書館,ﾁｭｳｵｳﾄｼｮｶﾝ,埼玉県新座市野火止1丁目1-2
陣屋小学校,ｼﾞﾝﾔｼｮｳｶﾞｯｺｳ,埼玉県新座市野火止1丁目18-20
野火止一丁目集会所,ﾉﾋﾞﾄﾞﾒｲｯﾁｮｳﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止1丁目2-19
観光プラザ,ｶﾝｺｳﾌﾟﾗｻﾞ,埼玉県新座市野火止1丁目23-15
新座市役所第三庁舎,ﾆｲｻﾞｼﾔｸｼｮﾀﾞｲｻﾝﾁｮｳｼｬ,埼玉県新座市野火止1丁目9-54
新座中学校,ﾆｲｻﾞﾁｭｳｶﾞｯｺｳ,埼玉県新座市野火止2丁目4-1
中原・本多集会所,ﾅｶﾊﾗﾎﾝﾀﾞｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止2丁目7-12
西分集会所,ﾆｼﾌﾞﾝｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止3丁目5-15
野火止公民館（ふるさと新座館）,ﾉﾋﾞﾄﾞﾒｺｳﾐﾝｶﾝ,埼玉県新座市野火止6丁目1-48
野火止四丁目集会所,ﾉﾋﾞﾄﾞﾒﾖﾝﾁｮｳﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止4丁目19-6
野火止庭球場（運動場）,ﾉﾋﾞﾄﾞﾒﾃｲｷｭｳｼﾞｮｳ,埼玉県新座市野火止4丁目2-5
野火止小学校,ﾉﾋﾞﾄﾞﾒｼｮｳｶﾞｯｺｳ,埼玉県新座市野火止4丁目9-1
野火止五丁目集会所,ﾉﾋﾞﾄﾞﾒｺﾞﾁｮｳﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止5丁目29-34
東野小学校,ﾋｶﾞｼﾉｼｮｳｶﾞｯｺｳ,埼玉県新座市野火止6丁目22-12
第二中学校,ﾀﾞｲﾆﾁｭｳｶﾞｯｺｳ,埼玉県新座市野火止7丁目17-10
野火止集会所,ﾉﾋﾞﾄﾞﾒｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止7丁目18-36
野火止中集会所,ﾉﾋﾞﾄﾞﾒﾅｶｼｭｳｶｲｼﾞｮ,埼玉県新座市野火止7丁目6-16
野寺集会所,ﾉﾃﾞﾗｼｭｳｶｲｼﾞｮ,埼玉県新座市野寺2丁目5-25
八石小学校,ﾊﾁｺｸｼｮｳｶﾞｯｺｳ,埼玉県新座市野寺2丁目8-45
第五中学校,ﾀﾞｲｺﾞﾁｭｳｶﾞｯｺｳ,埼玉県新座市野寺4丁目8-1
野寺小学校,ﾉﾃﾞﾗｼｮｳｶﾞｯｺｳ,埼玉県新座市野寺5丁目1-24
野寺上集会所,ﾉﾃﾞﾗｳｴｼｭｳｶｲｼﾞｮ,埼玉県新座市野寺5丁目5-12
